"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"SEDGWICK",1996,"Q. lobata",2.472,2594,2178,4880,2023,33003,1352,3192
"SEDGWICK",1997,"Q. lobata",2.078,2454,2448,156,75,4880,2023,3085
"SEDGWICK",1998,"Q. lobata",0,2071,1943,9527,8612,156,75,2801
"SEDGWICK",1999,"Q. lobata",2.841,2015,1803,13351,7329,9527,8612,2829
"SEDGWICK",2000,"Q. lobata",2.721,2446,2024,7024,11848,13351,7329,3037
"SEDGWICK",2001,"Q. lobata",0.927,2087,2068,18403,4830,7024,11848,3120
"SEDGWICK",2002,"Q. lobata",2.758,2358,2052,2147,505,18403,4830,3002
"SEDGWICK",2003,"Q. lobata",0.641,2057,2150,7542,6435,2147,505,3022
"SEDGWICK",2004,"Q. lobata",1.107,2588,2489,1345,130,7542,6435,3058
"SEDGWICK",2005,"Q. lobata",1.545,2206,2026,8847,2679,1345,130,3010
"SEDGWICK",2006,"Q. lobata",0.671,1879,1532,12179,16113,8847,2679,3081
"SEDGWICK",2007,"Q. lobata",3.392,2369,2287,1226,2085,12179,16113,3072
"SEDGWICK",2008,"Q. lobata",2.068,2413,2115,789,333,1226,2085,3086
"SEDGWICK",2009,"Q. lobata",0.709,2249,1958,2484,868,789,333,3087
"SEDGWICK",2010,"Q. lobata",1.08,1990,1999,1350,7408,2484,868,2850
"SEDGWICK",2011,"Q. lobata",1.27,2225,1834,22281,492,1350,7408,2812
"LIEBRE MTN",1994,"Q. douglasii",1.875,1947,1760,5185,1351,10387,7,3017
"LIEBRE MTN",1995,"Q. douglasii",0.906,1704,1401,15007,2746,5185,1351,2786
"LIEBRE MTN",1996,"Q. douglasii",1.847,1923,1646,2776,535,15007,2746,2962
"LIEBRE MTN",1997,"Q. douglasii",0.5,1674,1793,0,0,2776,535,2734
"LIEBRE MTN",1998,"Q. douglasii",0.283,1360,1276,7296,3787,0,0,2519
"LIEBRE MTN",1999,"Q. douglasii",3.939,1323,1284,1478,5402,7296,3787,2645
"LIEBRE MTN",2000,"Q. douglasii",2.296,1925,1391,4379,4277,1478,5402,2818
"LIEBRE MTN",2001,"Q. douglasii",1.558,1515,1530,3745,2345,4379,4277,2947
"LIEBRE MTN",2002,"Q. douglasii",0.594,1841,1420,813,86,3745,2345,2866
"LIEBRE MTN",2003,"Q. douglasii",0,1271,1480,3524,4672,813,86,2805
"LIEBRE MTN",2004,"Q. douglasii",1.356,1920,2123,1254,233,3524,4672,2800
"LIEBRE MTN",2005,"Q. douglasii",0.139,1754,1265,2808,2014,1254,233,2712
"LIEBRE MTN",2006,"Q. douglasii",3.651,1661,1184,7479,5239,2808,2014,3171
"LIEBRE MTN",2007,"Q. douglasii",2.641,2214,2004,712,1048,7479,5239,3218
"LIEBRE MTN",2008,"Q. douglasii",0.888,2096,1756,0,365,712,1048,3041
"LIEBRE MTN",2009,"Q. douglasii",2.462,1920,1606,795,229,0,365,3070
"LIEBRE MTN",2010,"Q. douglasii",1.802,1604,1477,939,4732,795,229,2883
"LIEBRE MTN",2011,"Q. douglasii",1.253,1618,1267,10030,603,939,4732,2602
"LIEBRE MTN",1999,"Q. lobata",4.329,1323,1284,1478,5402,7296,3787,2645
"LIEBRE MTN",2000,"Q. lobata",4.028,1925,1391,4379,4277,1478,5402,2818
"LIEBRE MTN",2001,"Q. lobata",3.748,1515,1530,3745,2345,4379,4277,2947
"LIEBRE MTN",2002,"Q. lobata",2.362,1841,1420,813,86,3745,2345,2866
"LIEBRE MTN",2003,"Q. lobata",0,1271,1480,3524,4672,813,86,2805
"LIEBRE MTN",2004,"Q. lobata",1.805,1920,2123,1254,233,3524,4672,2800
"LIEBRE MTN",2005,"Q. lobata",0.75,1754,1265,2808,2014,1254,233,2712
"LIEBRE MTN",2006,"Q. lobata",4.484,1661,1184,7479,5239,2808,2014,3171
"LIEBRE MTN",2007,"Q. lobata",2.316,2214,2004,712,1048,7479,5239,3218
"LIEBRE MTN",2008,"Q. lobata",2.959,2096,1756,0,365,712,1048,3041
"LIEBRE MTN",2009,"Q. lobata",3.932,1920,1606,795,229,0,365,3070
"LIEBRE MTN",2010,"Q. lobata",2.118,1604,1477,939,4732,795,229,2883
"LIEBRE MTN",2011,"Q. lobata",0.231,1618,1267,10030,603,939,4732,2602
"HOPLAND",1994,"Q. douglasii",3.193,1811,1795,1161,7384,10007,7428,2658
"HOPLAND",1995,"Q. douglasii",0.15,1616,1277,61863,11634,1161,7384,2531
"HOPLAND",1996,"Q. douglasii",2.62,1765,1764,10727,11806,61863,11634,2774
"HOPLAND",1997,"Q. douglasii",2.073,1755,1751,9131,5820,10727,11806,2638
"HOPLAND",1998,"Q. douglasii",0.686,1531,1455,19462,9014,9131,5820,2465
"HOPLAND",1999,"Q. douglasii",3.175,1676,1213,19965,7768,19462,9014,2583
"HOPLAND",2000,"Q. douglasii",2.859,1925,1576,7087,7865,19965,7768,2696
"HOPLAND",2001,"Q. douglasii",0.601,1621,1828,9324,4975,7087,7865,2854
"HOPLAND",2002,"Q. douglasii",2.072,1860,1527,9133,3302,9324,4975,2788
"HOPLAND",2003,"Q. douglasii",0.124,1298,1649,13532,25715,9133,3302,2778
"HOPLAND",2004,"Q. douglasii",3.418,2035,2157,5201,2295,13532,25715,2773
"HOPLAND",2005,"Q. douglasii",0.09,1614,1644,24847,10772,5201,2295,2603
"HOPLAND",2006,"Q. douglasii",2.63,1297,658,39849,23572,24847,10772,2747
"HOPLAND",2007,"Q. douglasii",3.793,1641,1743,2862,6070,39849,23572,2699
"HOPLAND",2008,"Q. douglasii",1.101,1587,1403,3646,1180,2862,6070,2738
"HOPLAND",2009,"Q. douglasii",1.989,1510,1220,12653,1404,3646,1180,2653
"HOPLAND",2010,"Q. douglasii",1.175,1174,1205,17707,17701,12653,1404,2440
"HOPLAND",2011,"Q. douglasii",1.38,1284,872,43508,2171,17707,17701,2375
"HOPLAND",1999,"Q. lobata",2.244,1676,1213,19965,7768,19462,9014,2583
"HOPLAND",2000,"Q. lobata",3.021,1925,1576,7087,7865,19965,7768,2696
"HOPLAND",2001,"Q. lobata",2.928,1621,1828,9324,4975,7087,7865,2854
"HOPLAND",2002,"Q. lobata",2.74,1860,1527,9133,3302,9324,4975,2788
"HOPLAND",2003,"Q. lobata",0.11,1298,1649,13532,25715,9133,3302,2778
"HOPLAND",2004,"Q. lobata",3.575,2035,2157,5201,2295,13532,25715,2773
"HOPLAND",2005,"Q. lobata",0.993,1614,1644,24847,10772,5201,2295,2603
"HOPLAND",2006,"Q. lobata",0.409,1297,658,39849,23572,24847,10772,2747
"HOPLAND",2007,"Q. lobata",4.433,1641,1743,2862,6070,39849,23572,2699
"HOPLAND",2008,"Q. lobata",1.462,1587,1403,3646,1180,2862,6070,2738
"HOPLAND",2009,"Q. lobata",2.396,1510,1220,12653,1404,3646,1180,2653
"HOPLAND",2010,"Q. lobata",0.416,1174,1205,17707,17701,12653,1404,2440
"HOPLAND",2011,"Q. lobata",1.087,1284,872,43508,2171,17707,17701,2375
"TOWER HOUSE",1994,"Q. lobata",2.982,2049,1860,2066,10769,29357,11118,3132
"TOWER HOUSE",1995,"Q. lobata",1.099,1771,1297,58708,18127,2066,10769,2842
"TOWER HOUSE",1996,"Q. lobata",2.072,1882,1701,9313,9899,58708,18127,3125
"TOWER HOUSE",1997,"Q. lobata",0.33,1927,1838,7854,8551,9313,9899,3015
"TOWER HOUSE",1998,"Q. lobata",1.18,1740,1486,43746,17007,7854,8551,2796
"TOWER HOUSE",1999,"Q. lobata",2.345,1871,1254,27366,11648,43746,17007,2975
"TOWER HOUSE",2000,"Q. lobata",2.006,2079,1623,18379,19756,27366,11648,3050
"TOWER HOUSE",2001,"Q. lobata",3.803,1797,1856,11516,8955,18379,19756,3197
"TOWER HOUSE",2002,"Q. lobata",2.02,2157,1586,14822,6664,11516,8955,3129
"TOWER HOUSE",2003,"Q. lobata",0.092,1461,1611,20941,34338,14822,6664,3096
"TOWER HOUSE",2004,"Q. lobata",3.35,2159,2091,11875,10585,20941,34338,3127
"TOWER HOUSE",2005,"Q. lobata",0.372,1800,1717,34823,11888,11875,10585,2970
"TOWER HOUSE",2006,"Q. lobata",2.165,1570,780,37827,29941,34823,11888,3161
"TOWER HOUSE",2007,"Q. lobata",3.081,2041,1864,2520,7771,37827,29941,3147
"TOWER HOUSE",2008,"Q. lobata",1.296,1962,1545,1879,1564,2520,7771,3157
"TOWER HOUSE",2009,"Q. lobata",3.029,1976,1471,18733,5882,1879,1564,3142
"TOWER HOUSE",2010,"Q. lobata",0.727,1512,1418,10763,26151,18733,5882,2898
"TOWER HOUSE",2011,"Q. lobata",1.629,1759,1209,48826,5291,10763,26151,2867
"DYE CREEK",1994,"Q. douglasii",3.16,2189,1991,3087,4689,9430,8206,3175
"DYE CREEK",1995,"Q. douglasii",0.296,1886,1471,33903,12443,3087,4689,2939
"DYE CREEK",1996,"Q. douglasii",3.419,2088,1886,6386,10440,33903,12443,3234
"DYE CREEK",1997,"Q. douglasii",3.099,2136,2045,5177,3766,6386,10440,3205
"DYE CREEK",1998,"Q. douglasii",0.126,1804,1687,12120,7459,5177,3766,2966
"DYE CREEK",1999,"Q. douglasii",3.104,1938,1397,7504,3276,12120,7459,3090
"DYE CREEK",2000,"Q. douglasii",3.403,2199,1737,7365,6347,7504,3276,3169
"DYE CREEK",2001,"Q. douglasii",2.091,1895,1963,7213,5789,7365,6347,3313
"DYE CREEK",2002,"Q. douglasii",1.962,2157,1683,5301,3425,7213,5789,3252
"DYE CREEK",2003,"Q. douglasii",1.868,1546,1752,10415,14720,5301,3425,3215
"DYE CREEK",2004,"Q. douglasii",3.693,2272,2242,3880,1544,10415,14720,3241
"DYE CREEK",2005,"Q. douglasii",1.014,1894,1865,7815,6204,3880,1544,3156
"DYE CREEK",2006,"Q. douglasii",0.05,1811,1191,21635,19536,7815,6204,3233
"DYE CREEK",2007,"Q. douglasii",3.223,2158,2215,1764,5248,21635,19536,3203
"DYE CREEK",2008,"Q. douglasii",2.424,2119,1913,1125,967,1764,5248,3211
"DYE CREEK",2009,"Q. douglasii",1.445,2134,1783,8701,1669,1125,967,3167
"DYE CREEK",2010,"Q. douglasii",2.41,1694,1723,6590,12725,8701,1669,2952
"DYE CREEK",2011,"Q. douglasii",1.411,1826,1428,21683,3810,6590,12725,2852
"DYE CREEK",1994,"Q. lobata",3.746,2189,1991,3087,4689,9430,8206,3175
"DYE CREEK",1995,"Q. lobata",0.116,1886,1471,33903,12443,3087,4689,2939
"DYE CREEK",1996,"Q. lobata",1.358,2088,1886,6386,10440,33903,12443,3234
"DYE CREEK",1997,"Q. lobata",0.887,2136,2045,5177,3766,6386,10440,3205
"DYE CREEK",1998,"Q. lobata",0.227,1804,1687,12120,7459,5177,3766,2966
"DYE CREEK",1999,"Q. lobata",1.523,1938,1397,7504,3276,12120,7459,3090
"DYE CREEK",2000,"Q. lobata",1.806,2199,1737,7365,6347,7504,3276,3169
"DYE CREEK",2001,"Q. lobata",0.689,1895,1963,7213,5789,7365,6347,3313
"DYE CREEK",2002,"Q. lobata",2.08,2157,1683,5301,3425,7213,5789,3252
"DYE CREEK",2003,"Q. lobata",0.211,1546,1752,10415,14720,5301,3425,3215
"DYE CREEK",2004,"Q. lobata",2.71,2272,2242,3880,1544,10415,14720,3241
"DYE CREEK",2005,"Q. lobata",0.436,1894,1865,7815,6204,3880,1544,3156
"DYE CREEK",2006,"Q. lobata",0.336,1811,1191,21635,19536,7815,6204,3233
